analyst,stock,symbol,call_date,last_buy_date,exit_date,position,actions,entry,current,return_pct,nifty_pct,alpha_pct,status
Kutumba Rao,Quality Walls,,2026-02-18,2026-02-18,,open,Buy,,,,,,no-price
Kutumba Rao,Radico Khaitan,RADICO.NS,2025-12-11,2026-05-25,,open,Accumulate/Buy,3192.62,4614.0,44.5,-6.5,51.0,ok
Kutumba Rao,Rainbow Hospitals,RAINBOW.NS,2026-04-08,2026-06-30,,open,Accumulate/Buy,1268.12,1446.7,14.1,0.9,13.2,ok
Kutumba Rao,Ratnaveer Precision,RATNAVEER.NS,2026-07-28,2026-07-28,,open,Buy,186.17,279.27,50.0,0.9,49.1,ok
Kutumba Rao,Recall,,2026-07-17,2026-07-17,,open,Buy,,,,,,no-price
Kutumba Rao,Reliance Industries,RELIANCE.NS,2026-02-02,2026-03-13,,open,Accumulate/Add,1384.0,1298.0,-6.2,-3.5,-2.7,ok
Kutumba Rao,Rolex Rings,ROLEXRINGS.NS,2026-02-09,2026-02-09,,open,Buy,128.25,184.45,43.8,-6.4,50.2,ok
Kutumba Rao,RR Kabel,,2026-03-02,2026-03-02,,open,Buy,,,,,,no-price
Kutumba Rao,RVNL,RVNL.NS,2026-04-06,2026-04-06,2026-06-09,closed,Buy (medium/long-term only),260.74,233.16,-10.6,1.2,-11.8,ok
Kutumba Rao,Sai Parentals,,2026-07-09,2026-07-09,,open,Buy,,,,,,no-price
Kutumba Rao,Sai Parenterals,SAIPARENT.NS,2026-05-12,2026-07-03,,open,Add/Buy,473.25,530.9,12.2,3.5,8.6,ok
Kutumba Rao,Samvardhana Motherson International,MOTHERSON.NS,2026-05-26,2026-05-26,,open,Add,135.58,165.0,21.7,1.2,20.5,ok
Kutumba Rao,Sandhar Technologies,SANDHAR.NS,2026-08-07,2026-08-07,,open,Buy,666.65,661.05,-0.8,-1.5,0.6,ok
Kutumba Rao,Sansera Engineering,SANSERA.NS,2026-04-15,2026-05-25,,open,Accumulate/Buy,2340.8,3836.6,63.9,-0.1,64.0,ok
Kutumba Rao,Satin Creditcare,SATIN.NS,2026-05-12,2026-05-12,,open,Buy,225.08,227.06,0.9,3.5,-2.7,ok
Kutumba Rao,SBFC Finance,SBFC.NS,2026-02-09,2026-02-09,2026-07-15,closed,Buy,97.39,93.17,-4.3,-6.9,2.6,ok
Kutumba Rao,State Bank of India,SBIN.NS,2026-02-09,2026-08-18,,open,Accumulate/Buy/Buy on dips,1125.71,1052.0,-6.5,-6.4,-0.1,ok
Kutumba Rao,SBI Life,SBILIFE.NS,2026-07-09,2026-07-09,,open,Buy,1821.7,1768.2,-2.9,1.0,-4.0,ok
Kutumba Rao,Schneider Electric / Techno Electric / GE Vernova,,2026-04-28,2026-04-28,,open,Add,,,,,,no-price
Kutumba Rao,Sezzle India,,2026-02-20,2026-02-20,,open,Accumulate,,,,,,no-price
Kutumba Rao,Shilchar Technologies,SHILCTECH.NS,2026-04-15,2026-04-15,,open,Buy,4775.08,3947.8,-17.3,-0.1,-17.2,ok
Kutumba Rao,Shilpa Medicare,SHILPAMED.NS,2026-08-17,2026-08-20,,open,Buy,809.3,860.75,6.4,-0.3,6.7,ok
Kutumba Rao,Shriram Finance,SHRIRAMFIN.NS,2026-07-09,2026-07-09,,open,Buy,1031.7,1117.5,8.3,1.0,7.3,ok
Kutumba Rao,Siemens Energy,ENRIN.NS,2026-04-29,2026-06-01,,open,Add/Buy,3310.0,3325.9,0.5,0.1,0.4,ok
